gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
42400223,2025-05-09 22:00,Denver,Nuggets,1610612743,Oklahoma City,Thunder,1610612760,113,104,1610612743,Playoffs,19993,1000046,West Conf. Semifinals,Game 3,3
42400203,2025-05-09 19:30,Indiana,Pacers,1610612754,Cleveland,Cavaliers,1610612739,104,126,1610612739,Playoffs,17274,1000063,East Conf. Semifinals,Game 3,3
42400232,2025-05-08 20:30,Minnesota,Timberwolves,1610612750,Golden State,Warriors,1610612744,117,93,1610612750,Playoffs,18978,61,West Conf. Semifinals,Game 2,2
42400222,2025-05-07 21:30,Oklahoma City,Thunder,1610612760,Denver,Nuggets,1610612743,149,106,1610612760,Playoffs,18203,1000052,West Conf. Semifinals,Game 2,2
42400212,2025-05-07 19:00,Boston,Celtics,1610612738,New York,Knicks,1610612752,90,91,1610612752,Playoffs,19156,17,East Conf. Semifinals,Game 2,2
42400231,2025-05-06 21:30,Minnesota,Timberwolves,1610612750,Golden State,Warriors,1610612744,88,99,1610612744,Playoffs,19223,61,West Conf. Semifinals,Game 1,1
42400202,2025-05-06 19:00,Cleveland,Cavaliers,1610612739,Indiana,Pacers,1610612754,119,120,1610612754,Playoffs,19432,1000144,East Conf. Semifinals,Game 2,2
42400221,2025-05-05 21:30,Oklahoma City,Thunder,1610612760,Denver,Nuggets,1610612743,119,121,1610612743,Playoffs,18203,1000052,West Conf. Semifinals,Game 1,1
42400211,2025-05-05 19:00,Boston,Celtics,1610612738,New York,Knicks,1610612752,105,108,1610612752,Playoffs,19156,17,East Conf. Semifinals,Game 1,1
42400157,2025-05-04 20:30,Houston,Rockets,1610612745,Golden State,Warriors,1610612744,89,103,1610612744,Playoffs,18055,215,West First Round,Game 7,7
42400201,2025-05-04 18:00,Cleveland,Cavaliers,1610612739,Indiana,Pacers,1610612754,112,121,1610612754,Playoffs,19432,1000144,East Conf. Semifinals,Game 1,1
42400177,2025-05-03 19:30,Denver,Nuggets,1610612743,Los Angeles,Clippers,1610612746,120,101,1610612743,Playoffs,19995,1000046,West First Round,Game 7,7
